113,"  AAYURVEDA ASHRAMAM,  KAVANGARAI,  KATHIRVEDU,  VINAYAGAPURAM,  MALLIGAI NAGAR AVE,  WATER PIPE THATHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL,  M.M.D.A.COLONY RD.JN.,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET"
,
114,"  AAYURVEDA ASHRAMAM,  KAVANGARAI,  CYCLE SHOP,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  WATER PIPE THATHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL"
,
114A,"  AAYURVEDA ASHRAMAM,  KAVANGARAI,  CYCLE SHOP,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  SRINIVASA NAGAR,  VILLIVAKKAM,  KAMABAR ARANGAM"
,
114C,"  KOYAMBEDU SCHOOL,  THIRUMANGALAM,  WEELS INDIA RD.JN.,  WATER PIPE THATHANKUPPAM,  MALLIGAI NAGAR AVE,  BUS BAY-17TH KM,  CYCLE SHOP,  KAVANGARAI,  AAYURVEDA ASHRAMAM,  REDHILLS,  PAMMADU KULAM RD.JN.,  JN.OF RACE COURSE RD,  ALAMADHI OLD,  DRY CATTLLE FORM,  ALAMADHI,  AMBEDKAR NAGAR,  POOCHIATHIPEDU,  GURUVOYAL KARANIBATTAI,  GURUVOYAL VILLAGE,  SETHUPAKKAM,  AGARAM KANDIGAI"
,
114CCT,"  KOYAMBEDU SCHOOL,  THIRUMANGALAM,  WEELS INDIA RD.JN.,  WATER PIPE THATHANKUPPAM,  MALLIGAI NAGAR AVE,  BUS BAY-17TH KM,  CYCLE SHOP,  KAVANGARAI,  AAYURVEDA ASHRAMAM,  REDHILLS,  AZHINJIVAKKAM RD.JN.,  KUMMANUR,  BUDUR,  ARUMANDAI RD.JN.,  PUDUKUPPAM"
,
114D,"  AGARAM,  CHINNAMBEDU VILLAGE,  CHINAMBEDU COLONY,  NEW ROAD,  THATCHUR ROAD JN,  PANJETTI,  PERIYAPALAYAM RD JN.,  KARANODAI,  SHOLAVARAM,  SEMILIVARAM,  PADIYANALLUR,  REDHILLS,  AAYURVEDA ASHRAMAM,  KAVANGARAI,  CYCLE SHOP,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  WATER PIPE THATHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL"
,
114E,"  KOYAMBEDU P.S,  KOYAMBEDU SCHOOL,  THIRUMANGALAM,  WEELS INDIA RD.JN.,  WATER PIPE THATHANKUPPAM,  MALLIGAI NAGAR AVE,  BUS BAY-17TH KM,  CYCLE SHOP,  KAVANGARAI,  AAYURVEDA ASHRAMAM,  REDHILLS,  PADIYANALLUR,  SEMILIVARAM,  SHOLAVARAM,  KARANODAI,  ATHUR,  OLD&NEW ERUMAI VETTI PALAYAM,  OLD ERUMAI VETTI PALAYAM"
,
114ET,"  KUTHAMKULAM,  PERUVOYAL,  PUDUVOYAL,  NEW ROAD,  THATCHUR ROAD JN,  PANJETTI,  PERIYAPALAYAM RD JN.,  KARANODAI,  SHOLAVARAM,  SEMILIVARAM,  PADIYANALLUR,  REDHILLS,  AAYURVEDA ASHRAMAM,  KAVANGARAI,  CYCLE SHOP,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  WATER PIPE THATHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL"
,
114G,"  KOYAMBEDU SCHOOL,  THIRUMANGALAM,  WEELS INDIA RD.JN.,  WATER PIPE THATHANKUPPAM,  MALLIGAI NAGAR AVE,  BUS BAY-17TH KM,  MADHAVARAM,  MOOLAKADAI,  MADHAVARAM POST BOX,  MADHAVARAM VILLAGE,  MATHUR RD. JN.,,  VADAPERUMBAKKAM,  GRAND LINE,  REDHILLS,  PADIYANALLUR,  SEMILIVARAM,  SHOLAVARAM,  SHOZHIPALAYAM,  ORAKKADU,  BUDUR,  ARUMANDAI RD.JN.,  PUDUKUPPAM"
,
114P,"  REDHILLS,  AAYURVEDA ASHRAMAM,  KAVANGARAI,  CYCLE SHOP,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  WATER PIPE THATHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL"
,
114S,"  CHINNAMADIYOOR,  THANDAVARAYAN PALAYAM,  KANNIAMPALAYAM,  PUDUKUPPAM,  NERKUNDRAM,  SOTHUPERMEDU,  KARANODAI SCHOOL,  SHOLAVARAM P.S.,  SEMILIVARAM,  PADIYANALLUR,  REDHILLS,  AAYURVEDA ASHRAMAM,  KAVANGARAI,  CYCLE SHOP,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  WATER PIPE THATHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL,  KOYAMBEDU P.S"
,
118,"  IRUMBULIYUR,  PERUNGALATHUR,  VANDALUR GATE,  VANDALUR ZOO,  URAPAKKAM,  PALAKKA COMPANY,  GUDUVANCHERY,  THAILAPURAM,  MARAIMALAI NAGAR,  PAVENTHER SALAI"
,
118ET,"  IRUMBULIYUR,  PERUNGALATHUR,  VANDALUR GATE,  VANDALUR ZOO,  URAPAKKAM,  PALAKKA COMPANY,  GUDUVANCHERY,  THAILAPURAM,  MARAIMALAI NAGAR,  PAVENTHER SALAI,  MARAIMALAI NAGAR P.S.JN.,  GUDALOOR TEA SHOP,  KARUNEELAM ROAD JN,  KADAMBUR"
,
118T,"  IRUMBULIYUR,  PERUNGALATHUR,  VANDALUR GATE,  VANDALUR ZOO,  URAPAKKAM,  PALAKKA COMPANY,  GUDUVANCHERY,  GOVINDARAJAPURAM,  PERUMATTU NALLUR"
,
119,"  CONCORDE,  JN.OF RACE COURSE RD,  GURUNANAK COLLEGE,  VELACHERY,  I.R.T. RD.JN.,  SRP TOOLS,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP,  MOOTAKARAN CHAVADI,  KARAPAKKAM,  SHOZHANGANALLUR P.U.OFFICE,  KUMARAN NAGAR,  NUCLEUS COMPANY"
,
119G,"  CONCORDE,  JN.OF RACE COURSE RD,  GURUNANAK COLLEGE,  VIJAYA NAGAR,  I.R.T. RD.JN.,  SRP TOOLS,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP,  MOOTAKARAN CHAVADI,  KARAPAKKAM,  SHOZHANGANALLUR P.U.OFFICE,  KUMARAN NAGAR,  NUCLEUS COMPANY"
,
11G,"  M.G.R.CENTRAL,  P.OR & SONS,  T.V.S,  D.M.S,  PONDY BAZAAR,  ANJUGAM SCHOOL,  GOVT. GIRLS H.SC,  Jn.OF P.T.R Rd/KAMARAJ Rd,  MUTHUMARIAMMAN KOIL"
,
11GET,"  SECRETARIAT,  CHEPAUK,  ANNA ROAD P.O./DAMS ROAD,  T.V.S,  D.M.S,  PONDY BAZAAR,  ANJUGAM SCHOOL,  GOVT. GIRLS H.SC,  Jn.OF P.T.R Rd/KAMARAJ Rd,  MUTHUMARIAMMAN KOIL,  VIRUGAMBAKKAM,  VALASARAVAKKAM,  PORUR"
,
11H,"  SECRETARIAT,  CHEPAUK,  ANNA ROAD P.O./DAMS ROAD,  T.V.S,  D.M.S,  PONDY BAZAAR,  ANJUGAM SCHOOL,  GOVT. GIRLS H.SC,  Jn.OF P.T.R Rd/KAMARAJ Rd,  MUTHUMARIAMMAN KOIL,  VIRUGAMBAKKAM,  VALASARAVAKKAM,  PORUR"
,
120,"  M.G.R.CENTRAL,  DHARMAPRAKASH/PETROL BUNK,  KELLEYS,  SAYANI/AYNAVARAM,  KAMABAR ARANGAM,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATTUR I.E.,  DUNLOP,  AMBATTUR O.T.,  THIRUMULLAIVOYAL,  POLYTECHNIC"
,
120A,"  M.G.R.CENTRAL,  DHARMAPRAKASH/PETROL BUNK,  KELLEYS,  SAYANI/AYNAVARAM,  KAMABAR ARANGAM,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATTUR I.E.,  DUNLOP,  AMBATTUR O.T.,  THIRUMULLAIVOYAL,  POLYTECHNIC,  AVADI CIRCLE,  KOILPATHAGAI RD.JN.,  H.V.F.MAIN GATE,  AAFS CROSS ROAD,  VENGAL CROSS ROAD,  VEERAPURAM,  ARAKKAMBAKKAM RD.JN."
,
120CT,"  M.G.R.CENTRAL,  DHARMAPRAKASH/PETROL BUNK,  KELLEYS,  SAYANI/AYNAVARAM,  KAMABAR ARANGAM,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATTUR I.E.,  DUNLOP,  AMBATTUR O.T.,  THIRUMULLAIVOYAL,  PERIYAR NAGAR"
,
120E,"  M.G.R.CENTRAL,  DHARMAPRAKASH/PETROL BUNK,  KELLEYS,  SAYANI/AYNAVARAM,  KAMABAR ARANGAM,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATTUR I.E.,  DUNLOP,  AMBATTUR O.T.,  THIRUMULLAIVOYAL,  POLYTECHNIC,  AVADI CIRCLE,  KOILPATHAGAI RD.JN.,  H.V.F.MAIN GATE,  AAFS CROSS ROAD,  VENGAL CROSS ROAD,  VEERAPURAM,  ARAKKAMBAKKAM,  PANDESWARAM,  KADHAVOOR RD.JN."
,
120F,"  M.G.R.CENTRAL,  DHARMAPRAKASH/PETROL BUNK,  KELLEYS,  SAYANI/AYNAVARAM,  KAMABAR ARANGAM,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATTUR I.E.,  DUNLOP,  AMBATTUR O.T.,  ORAGADAM O.T."
,
120G,"  M.G.R.CENTRAL,  DHARMAPRAKASH/PETROL BUNK,  KELLEYS,  SAYANI/AYNAVARAM,  KAMABAR ARANGAM,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATTUR I.E.,  DUNLOP,  AMBATTUR O.T.,  VENGATAPURAM"
,
120K,"  M.G.R.CENTRAL,  DHARMAPRAKASH/PETROL BUNK,  KELLEYS,  SAYANI/AYNAVARAM,  KAMABAR ARANGAM,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATTUR I.E.,  DUNLOP,  AMBATTUR O.T.,  THIRUMULLAIVOYAL,  POLYTECHNIC,  AVADI CIRCLE,  KOILPATHAGAI RD.JN.,  H.V.F.MAIN GATE,  AIRFORCE STATION,  VENGAL CROSS ROAD,  VEERAPURAM,  NALLUR PUDU NAGAR"
,
120KET,"  M.G.R.CENTRAL,  DHARMAPRAKASH/PETROL BUNK,  KELLEYS,  SAYANI/AYNAVARAM,  KAMABAR ARANGAM,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATTUR I.E.,  DUNLOP,  AMBATTUR O.T.,  THIRUMULLAIVOYAL,  POLYTECHNIC,  AVADI CIRCLE,  KOILPATHAGAI RD.JN.,  H.V.F.MAIN GATE,  AAFS CROSS ROAD,  VENGAL CROSS ROAD,  VEERAPURAM RD JN.,  MORAI,  KADHAVOOR,  KADHAVOOR RD.JN."
,
121,"  MINJUR O.T,  MINJUR B.D.O,  PATTAMANDIRI,  KONDAKKARAI,  NAPALAYAM,  ECHANKUZHI,  ANDARKUPPAM, ,  FEET ROAD JN.,  MANALI ARIYALUR RD JN.,  MATHUR RD. JN.,,  KOSAPUR RD. JN.,,  MADHAVARAM,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  WATER PIPE THATHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL"
,
121A,"  MANALAI SEEKADU,  MADHAVARAM MILLK COLONY,  MADHAVARAM POST BOX,  MOOLAKADAI,  MADHAVARAM,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  WATER PIPE THATHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL"
,
121C,"  ASHOK LEYLAND,  ERNAVOOR GATE,  SATHIYAMOORTHY NAGAR,  JN. OF PONNERI RD & ERANOOR,  MANALI RD JN.,  MANALAI SEEKADU,  M.M.C,  MADHAVARAM POST BOX,  MOOLAKADAI,  MADHAVARAM,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  WATER PIPE THATHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL"
,
121CT,"  KOYAMBEDU SCHOOL,  THIRUMANGALAM,  WEELS INDIA RD.JN.,  WATER PIPE THATHANKUPPAM,  MALLIGAI NAGAR AVE"
,
121D,"  ECHANKUZHI,  ANDARKUPPAM,  JN. OF PONNERI RD & ERANOOR,  MANALI RD JN.,  MANALAI SEEKADU,  MADHAVARAM MILLK COLONY,  MADHAVARAM POST BOX,  MOOLAKADAI,  MADHAVARAM,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  THAZHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL"
,
121F,"  MADHAVARAM POST BOX,  MOOLAKADAI,  MADHAVARAM,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  WATER PIPE THATHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL,  M.M.D.A.COLONY RD.JN.,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET,  ST THOMAS MOUNT PO,  MEENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRPORT,  PALLAVARAM,  CHROMEPET,  T.B.SANATORIUM"
,
121G,"  SIDCO,  MOOLAKADAI,  MADHAVARAM,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  WATER PIPE THATHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL"
,
